,,,,,,,<2008,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,subtotal,>2020,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,0,0,0,0,0,7,28,6,41,0,41
2017,"Future applications of blockchain in business and management: A Delphi study","White G.R.T.",10991697,"Strategic Change",26, 5,0,0,0,0,0,0,0,0,0,0,0,3,12,2,17,0,17
2018,"With a little help from the miners: distributed ledger technology and market disintermediation","Zamani E.D., Giaglis G.M.",02635577,"Industrial Management and Data Systems",118, 3,0,0,0,0,0,0,0,0,0,0,0,3,8,2,13,0,13
2018,"Trust in a viable real estate economy with disruption and blockchain","Veuger J.",02632772,"Facilities",36, 1-2,0,0,0,0,0,0,0,0,0,0,0,1,4,2,7,0,7
2019,"Re-designing the business organization using disruptive innovations based on blockchain-IoT integrated architecture for improving agility in future Industry 4.0","Rane S.B., Narvel Y.A.M.",14635771,"Benchmarking",, ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
2019,"Blockchain as a disruptive technology for business: A systematic review","Frizzo-Barker J., Chow-White P.A., Adams P.R., Mentanko J., Ha D., Green S.",02684012,"International Journal of Information Management",, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Blockchain in solar energy","Themistocleous M., Stefanou K., Iosif E.",10152881,"Cyprus Review",30, 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Global container shipping market development and its impact on mega logistics system","Grzelakowski A.S.",20836473,"TransNav",13, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Challenges of DLT-enabled scalable governance and the role of standards","Benedict G.",2245800X,"Journal of ICT Standardization",7, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"The blockchain technology and the scope of its application in hospitality operations","Filimonau V., Naumova E.",02784319,"International Journal of Hospitality Management",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Acceptance and penetration of bitcoin: The role of psychological distance and national culture","Abraham J., Sutiksno D.U., Kurniasih N., Warokka A.",21582440,"SAGE Open",9, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"The challenges of AI and blockchain on HR recruiting practices","Michailidis M.P.",10152881,"Cyprus Review",30, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
