,,,,,,,<2008,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,subtotal,>2020,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,0,0,0,0,0,4,42,3,49,0,49
2018,"Opportunities for Use of Blockchain Technology in Medicine","Radanovic I., Likic R.",11755652,"Applied Health Economics and Health Policy",16, 5,0,0,0,0,0,0,0,0,0,0,0,0,18,2,20,0,20
2018,"Digital Art as ‘Monetised Graphics’: Enforcing Intellectual Property on the Blockchain","Zeilinger M.",22105433,"Philosophy and Technology",31, 1,0,0,0,0,0,0,0,0,0,0,0,2,12,0,14,0,14
2018,"Application of blockchain technology in online education","Sun H., Wang X., Wang X.",18688799,"International Journal of Emerging Technologies in Learning",13, 10,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,5
2018,"Intellectual property law and practice in the blockchain realm","Gurkaynak G., Yilmaz I., Yesilaltay B., Bengi B.",02673649,"Computer Law and Security Review",34, 4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4
2019,"System architecture for high-performance permissioned blockchains","Feng L., Zhang H., Tsai W.-T., Sun S.",20952228,"Frontiers of Computer Science",13, 6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2019,"Text mining as a facilitating tool for deploying blockchain technology in the intellectual property rights system","Alnafrah I., Bogdanova E., Maximova T.",14789647,"International Journal of Intellectual Property Management",9, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2019,"A novel paradigm for managing the product development process utilising blockchain technology principles","Papakostas N., Newell A., Hargaden V.",00078506,"CIRP Annals",68, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Towards a Philosophy of Financial Technologies","Coeckelbergh M., DuPont Q., Reijers W.",22105433,"Philosophy and Technology",31, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Impact of technological blockchain paradigm on the movement of intellectual property in the digital space","Shatkovskaya T.V., Shumilina A.B., Nebratenko G.G., Isakova Ju.I., Sapozhnikova E.Yu.",11082976,"European Research Studies Journal",21, 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2018,"Natural flows: E-commerce, cyber-, bitcoin, blockchain","Petrescu A.S., Panea O.",14549069,"Proceedings of the Romanian Academy Series A - Mathematics Physics Technical Sciences Information Science",19, ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2019,"IGR token-raw material and ingredient certification of recipe based foods using smart contracts","dos Santos R.B., Torrisi N.M., Yamada E.R.K., Pantoni R.P.",22279709,"Informatics",6, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Pause the blockchain legal revolution","Low K.F.K., Mik E.",00205893,"International and Comparative Law Quarterly",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Blockchain: Will Better Data Security Change Chemical Education?","Pence H.E.",00219584,"Journal of Chemical Education",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Blockchain technology and intellectual property rights","Singh B.P., Tripathi A.K.",09717544,"Journal of Intellectual Property Rights",24, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Provable data integrity in the pharmaceutical industry based on version control systems and the blockchain","Steinwandter V., Herwig C.",10797440,"PDA Journal of Pharmaceutical Science and Technology",73, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Integrated innovative product design and supply chain tactical planning within a blockchain platform","Rahmanzadeh S., Pishvaee M.S., Rasouli M.R.",00207543,"International Journal of Production Research",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"The application of legal-statistical method in analysing manufacturing property's institutional development","Shatkovskaya T.V., Isayev I.A., Epifanova T.V., Ismailov M.A.",22414754,"International Journal of Economics and Business Administration",7, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,"IP dLedger: Decentralized ledger for intellectual property","Nam J.-H., Lee S.-J., Lee I.-G.",1943023X,"Journal of Advanced Research in Dynamical and Control Systems",10, 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
