,,,,,,,<2008,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,subtotal,>2020,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2,4,62,301,546,670,913,1125,1303,1561,1731,1796,1776,78,11866,0,11868
2009,"Quantum entanglement","Horodecki R., Horodecki P., Horodecki M., Horodecki K.",00346861,"Reviews of Modern Physics",81, 2,1,0,52,213,289,341,369,391,452,436,468,510,520,20,4061,0,4062
2009,"The security of practical quantum key distribution","Scarani V., Bechmann-Pasquinucci H., Cerf N.J., Dusek M., Lutkenhaus N., Peev M.",00346861,"Reviews of Modern Physics",81, 3,1,0,3,53,104,93,97,166,152,166,171,189,215,7,1416,0,1417
2012,"Gaussian quantum information","Weedbrook C., Pirandola S., Garcia-Patron R., Cerf N.J., Ralph T.C., Shapiro J.H., Lloyd S.",00346861,"Reviews of Modern Physics",84, 2,0,0,0,0,0,44,89,128,140,147,158,225,246,6,1183,0,1183
2012,"Addressing cloud computing security issues","Zissis D., Lekkas D.",0167739X,"Future Generation Computer Systems",28, 3,0,0,0,0,4,27,71,105,158,184,159,152,133,11,1004,0,1004
2016,"A Secure and Dynamic Multi-Keyword Ranked Search Scheme over Encrypted Cloud Data","Xia Z., Wang X., Sun X., Wang Q.",10459219,"IEEE Transactions on Parallel and Distributed Systems",27, 2,0,0,0,0,0,0,0,0,15,146,285,203,118,8,775,0,775
2010,"Secure transmission with multiple antennas I: The MISOME wiretap channel","Khisti A., Wornell G.W.",00189448,"IEEE Transactions on Information Theory",56, 7,0,0,1,9,52,48,95,99,97,111,97,66,61,2,738,0,738
2012,"Measurement-device-independent quantum key distribution","Lo H.-K., Curty M., Qi B.",00319007,"Physical Review Letters",108, 13,0,0,0,0,0,7,39,73,79,93,89,128,177,7,692,0,692
2014,"Survey on free space optical communication: A communication theory perspective","Khalighi M.A., Uysal M.",1553877X,"IEEE Communications Surveys and Tutorials",16, 4,0,0,0,0,0,0,0,2,39,104,152,195,180,11,683,0,683
2009,"Quantum computation and quantum-state engineering driven by dissipation","Verstraete F., Wolf M.M., Ignacio Cirac J.",17452473,"Nature Physics",5, 9,0,0,2,20,53,61,81,78,78,76,78,74,76,3,680,0,680
2010,"Secure transmission with multiple antennas-part II: The MIMOME wiretap channel","Khisti A., Wornell G.W.",00189448,"IEEE Transactions on Information Theory",56, 11,0,4,4,6,44,49,72,83,93,98,74,54,50,3,634,0,634
