,,,,,,,<2008,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,subtotal,>2020,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2,45,158,534,1052,1900,2692,3326,3832,4663,5281,5303,5618,384,34788,0,34790
2009,"QUANTUM ESPRESSO: A modular and open-source software project for quantum simulations of materials","Giannozzi P., Baroni S., Bonini N., Calandra M., Car R., Cavazzoni C., Ceresoli D., Chiarotti G.L., Cococcioni M., Dabo I., Dal Corso A., De Gironcoli S., Fabris S., Fratesi G., Gebauer R., Gerstmann U., Gougoussis C., Kokalj A., Lazzeri M., Martin-Samos L., Marzari N., Mauri F., Mazzarello R., Paolini S., Pasquarello A., Paulatto L., Sbraccia C., Scandolo S., Sclauzero G., Seitsonen A.P., Smogunov A., Umari P., Wentzcovitch R.M.",09538984,"Journal of Physics Condensed Matter",21, 39,0,0,31,334,534,709,865,1039,1181,1378,1636,1774,1863,163,11507,0,11507
2010,"Arlequin suite ver 3.5: A new series of programs to perform population genetics analyses under Linux and Windows","Excoffier L., Lischer H.E.L.",1755098X,"Molecular Ecology Resources",10, 3,0,0,0,16,186,532,785,921,1044,1095,1163,1174,1223,70,8209,0,8209
2011,"MERRA: NASA's modern-era retrospective analysis for research and applications","Rienecker M.M., Suarez M.J., Gelaro R., Todling R., Bacmeister J., Liu E., Bosilovich M.G., Schubert S.D., Takacs L., Kim G.-K., Bloom S., Chen J., Collins D., Conaty A., Da Silva A., Gu W., Joiner J., Koster R.D., Lucchesi R., Molod A., Owens T., Pawson S., Pegion P., Redder C.R., Reichle R., Robertson F.R., Ruddick A.G., Sienkiewicz M., Woollen J.",08948755,"Journal of Climate",24, 14,0,0,0,0,36,108,231,312,411,473,485,391,355,19,2821,0,2821
2015,"Estimating the reproducibility of psychological science","Aarts A.A., Anderson J.E., Anderson C.J., Attridge P.R., Attwood A., Axt J., Babel M., Bahnik S., Baranski E., Barnett-Cowan M., Bartmess E., Beer J., Bell R., Bentley H., Beyan L., Binion G., Borsboom D., Bosch A., Bosco F.A., Bowman S.D., Brandt M.J., Braswell E., Brohmer H., Brown B.T., Brown K., Bruning J., Calhoun-Sauls A., Callahan S.P., Chagnon E., Chandler J., Chartier C.R., Cheung F., Christopherson C.D., Cillessen L., Clay R., Cleary H., Cloud M.D., Conn M., Cohoon J., Columbus S., Cordes A., Costantini G., Alvarez L.D.C., Cremata E., Crusius J., DeCoster J., DeGaetano M.A., Penna N.D., Den Bezemer B., Deserno M.K., Devitt O., Dewitte L., Dobolyi D.G., Dodson G.T., Donnellan M.B., Donohue R., Dore R.A., Dorrough A., Dreber A., Dugas M., Dunn E.W., Easey K., Eboigbe S., Eggleston C., Embley J., Epskamp S., Errington T.M., Estel V., Farach F.J., Feather J., Fedor A., Fernandez-Castilla B., Fiedler S., Field J.G., Fitneva S.A., Flagan T., Forest A.L., Forsell E., Foster J.D., Frank M.C., Frazier R.S., Fuchs H., Gable P., Galak J., Galliani E.M., Gampa A., Garcia S., Gazarian D., Gilbert E., Giner-Sorolla R., Glockner A., Goellner L., Goh J.X., Goldberg R., Goodbourn P.T., Gordon-McKeon S., Gorges B., Gorges J., Goss J., Graham J., Grange J.A., Gray J., Hartgerink C., Hartshorne J., Hasselman F., Hayes T., Heikensten E., Henninger F., Hodsoll J., Holubar T., Hoogendoorn G., Humphries D.J., Hung C.O.-Y., Immelman N., Irsik V.C., Jahn G., Jakel F., Jekel M., Johannesson M., Johnson L.G., Johnson D.J., Johnson K.M., Johnston W.J., Jonas K., Joy-Gaba J.A., Kappes H.B., Kelso K., Kidwell M.C., Kim S.K., Kirkhart M., Kleinberg B., Knezevic G., Kolorz F.M., Kossakowski J.J., Krause R.W., Krijnen J., Kuhlmann T., Kunkels Y.K., Kyc M.M., Lai C.K., Laique A., Lakens D., Lane K.A., Lassetter B., Lazarevic L.B., Le Bel E.P., Lee K.J., Lee M., Lemm K., Levitan C.A., Lewis M., Lin L., Lin S., Lippold M., Loureiro D., Luteijn I., MacKinnon S., Mainard H.N., Marigold D.C., Martin D.P., Martinez T., Masicampo E.J., Matacotta J., Mathur M., May M., Mechin N., Mehta P., Meixner J., Melinger A., Miller J.K., Miller M., Moore K., Moschl M., Motyl M., Muller S.M., Munafo M., Neijenhuijs K.I., Nervi T., Nicolas G., Nilsonne G., Nosek B.A., Nuijten M.B., Olsson C., Osborne C., Ostkamp L., Pavel M., Penton-Voak I.S., Perna O., Pernet C., Perugini M., Pipitone R.N., Pitts M., Plessow F., Prenoveau J.M., Rahal R.-M., Ratliff K.A., Reinhard D., Renkewitz F., Ricker A.A., Rigney A., Rivers A.M., Roebke M., Rutchick A.M., Ryan R.S., Sahin O., Saide A., Sandstrom G.M., Santos D., Saxe R., Schlegelmilch R., Schmidt K., Scholz S., Seibel L., Selterman D.F., Shaki S., Simpson W.B., Sinclair H.C., Skorinko J.L.M., Slowik A., Snyder J.S., Soderberg C., Sonnleitner C., Spencer N., Spies J.R., Steegen S., Stieger S., Strohminger N., Sullivan G.B., Talhelm T., Tapia M., Te Dorsthorst A., Thomae M., Thomas S.L., Tio P., Traets F., Tsang S., Tuerlinckx F., Turchan P., Valasek M., Van't Veer A.E., Van Aert R., Van Assen M., Van Bork R., Van De Ven M., Van Den Bergh D., Van Der Hulst M., Van Dooren R., Van Doorn J., Van Renswoude D.R., Van Rijn H., Vanpaemel W., Echeverria A.V., Vazquez M., Velez N., Vermue M., Verschoor M., Vianello M., Voracek M., Vuu G., Wagenmakers E.-J., Weerdmeester J., Welsh A., Westgate E.C., Wissink J., Wood M., Woods A., Wright E., Wu S., Zeelenberg M., Zuni K.",00368075,"Science",349, 6251,1,0,0,0,0,0,0,0,29,368,549,575,712,41,2274,0,2275
2010,"Business models, business strategy and innovation","Teece D.J.",00246301,"Long Range Planning",43, 2-3,0,0,1,13,47,81,171,226,189,317,346,390,400,23,2204,0,2204
2009,"A flexible and accurate genotype imputation method for the next generation of genome-wide association studies","Howie B.N., Donnelly P., Marchini J.",15537390,"PLoS Genetics",5, 6,1,0,1,32,74,153,153,236,287,280,328,297,265,12,2118,0,2119
2008,"Implementation matters: A review of research on the influence of implementation on program outcomes and the factors affecting implementation","Durlak J.A., DuPre E.P.",00910562,"American Journal of Community Psychology",41, 3-4,0,5,22,42,69,127,157,199,237,216,269,276,325,17,1961,0,1961
2010,"Resilience thinking: Integrating resilience, adaptability and transformability","Folke C., Carpenter S.R., Walker B., Scheffer M., Chapin T., Rockstrom J.",17083087,"Ecology and Society",15, 4,0,0,0,2,16,51,83,124,156,188,196,186,251,24,1277,0,1277
2012,"Global burden of cancers attributable to infections in 2008: A review and synthetic analysis","De Martel C., Ferlay J., Franceschi S., Vignat J., Bray F., Forman D., Plummer M.",14702045,"The Lancet Oncology",13, 6,0,0,0,0,0,29,117,158,186,234,221,159,144,11,1259,0,1259
