,,,,,,,<2008,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,subtotal,>2020,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,3,25,76,177,216,424,608,766,1093,1455,1888,2797,278,9806,0,9806
2008,"Reinventing your business model","Johnson M.W., Christensen C.M., Kagermann H.",00178012,"Harvard Business Review",86, 12,0,0,9,26,44,53,77,110,93,115,109,128,130,7,901,0,901
2014,"Big Data, new epistemologies and paradigm shifts","Kitchin R.",20539517,"Big Data and Society",1, 1,0,0,0,0,0,0,0,2,35,84,126,141,159,16,563,0,563
2015,"Airbnb: disruptive innovation and the rise of an informal tourism accommodation sector","Guttentag D.",13683500,"Current Issues in Tourism",18, 12,0,0,0,0,0,0,0,0,3,25,70,108,196,23,425,0,425
2016,"Creative destruction or mere niche support? Innovation policy mixes for sustainability transitions","Kivimaa P., Kern F.",00487333,"Research Policy",45, 1,0,0,0,0,0,0,0,0,0,8,32,54,79,14,187,0,187
2011,"Solid-state lighting: 'The case' 10 years after and future prospects","Haitz R., Tsao J.Y.",18626300,"Physica Status Solidi (A) Applications and Materials Science",208, 1,0,0,0,0,3,13,24,28,33,22,28,22,13,1,187,0,187
2013,"Novel models for delivering mental health services and reducing the burdens of mental illness","Kazdin A.E., Rabbitt S.M.",21677026,"Clinical Psychological Science",1, 2,0,0,0,0,0,0,5,21,21,36,30,24,21,1,159,0,159
2011,"Capacity and coverage enhancement in heterogeneous networks","Yeh S.-P., Talwar S., Wu G., Himayat N., Johnsson K.",15361284,"IEEE Wireless Communications",18, 3,0,0,0,0,1,15,16,30,21,21,13,11,5,2,135,0,135
2012,"Disruptive innovations for designing and diffusing evidence-based interventions","Rotheram-Borus M.J., Swendeman D., Chorpita B.F.",0003066X,"American Psychologist",67, 6,0,0,0,0,0,1,12,32,22,20,20,12,14,1,134,0,134
2009,"The effect of a market orientation, entrepreneurial orientation, and technological capability on innovativeness: A study of young biotechnology ventures in the United States and in Scandinavia","Renko M., Carsrud A., Brannback M.",00472778,"Journal of Small Business Management",47, 3,0,0,1,2,11,10,17,17,11,16,16,4,19,0,124,0,124
2008,"When is a disruptive innovation disruptive?","Schmidt G.M., Druehl C.T.",07376782,"Journal of Product Innovation Management",25, 4,0,1,3,3,9,5,15,9,17,10,11,19,20,1,123,0,123
2014,"Experimental demonstration of a transparent graphene millimetre wave absorber with 28% fractional bandwidth at 140 GHz","Wu B., Tuncer H.M., Naeem M., Yang B., Cole M.T., Milne W.I., Hao Y.",20452322,"Scientific Reports",4, ,0,0,0,0,0,0,0,3,8,11,32,27,24,1,106,0,106
2013,"Digital business strategy and value creation: Framing the dynamic cycle of control points","Pagani M.",02767783,"MIS Quarterly: Management Information Systems",37, 2,0,0,0,0,0,0,1,4,7,13,18,33,27,1,104,0,104
2011,"Challenges and opportunities facing medical education.","Densen P.",00657778,"Transactions of the American Clinical and Climatological Association",122, ,0,0,0,0,0,0,3,3,6,14,26,21,28,2,103,0,103
2013,"Technological discontinuities and the challenge for incumbent firms: Destruction, disruption or creative accumulation?","Bergek A., Berggren C., Magnusson T., Hobday M.",00487333,"Research Policy",42, 6-7,0,0,0,0,0,0,0,9,7,14,12,19,33,5,99,0,99
2012,"Big TAM in Oman: Exploring the promise of on-line banking, its adoption by customers and the challenges of banking in Oman","Riffai M.M.M.A., Grant K., Edgar D.",02684012,"International Journal of Information Management",32, 3,0,0,0,0,0,1,3,8,10,13,9,17,31,3,95,0,95
2017,"Assessing Airbnb as a disruptive innovation relative to hotelsSubstitution and comparative performance expectations","Guttentag D.A., Smith S.L.J.",02784319,"International Journal of Hospitality Management",64, ,0,0,0,0,0,0,0,0,0,0,1,21,59,11,92,0,92
2018,"Why Tourists Choose Airbnb: A Motivation-Based Segmentation Study","Guttentag D., Smith S., Potwarka L., Havitz M.",00472875,"Journal of Travel Research",57, 3,0,0,0,0,0,0,0,0,0,0,0,19,60,11,90,0,90
