,,,,,,,<2008,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,subtotal,>2020,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,0,1,21,55,82,168,324,483,687,971,1130,1180,87,5189,0,5189
2013,"Forecasting the impact of heart failure in the united states a policy statement from the american heart association","Heidenreich P.A., Albert N.M., Allen L.A., Bluemke D.A., Butler J., Fonarow G.C., Ikonomidis J.S., Khavjou O., Konstam M.A., Maddox T.M., Nichol G., Pham M., Pina I.L., Trogdon J.G.",19413289,"Circulation: Heart Failure",6, 3,0,0,0,0,0,1,16,58,134,170,225,235,213,18,1070,0,1070
2013,"Applications of nanotechnology in water and wastewater treatment","Qu X., Alvarez P.J.J., Li Q.",00431354,"Water Research",47, 12,0,0,0,0,0,0,3,50,97,137,204,191,207,14,903,0,903
2016,"Flexible and Stretchable Physical Sensor Integrated Platforms for Wearable Human-Activity Monitoringand Personal Healthcare","Trung T.Q., Lee N.-E.",09359648,"Advanced Materials",28, 22,0,0,0,0,0,0,0,0,0,13,132,166,260,15,586,0,586
2010,"Renewable energy policies and technological innovation: Evidence based on patent counts","Johnstone N., Hascic I., Popp D.",09246460,"Environmental and Resource Economics",45, 1,0,0,0,12,29,35,54,47,65,56,87,81,84,13,563,0,563
2012,"Toward a spatial perspective on sustainability transitions","Coenen L., Benneworth P., Truffer B.",00487333,"Research Policy",41, 6,0,0,0,0,0,5,12,30,56,46,77,108,83,8,425,0,425
2012,"Growing grassroots innovations: Exploring the role of community-based initiatives in governing sustainable energy transitions","Seyfang G., Haxeltine A.",0263774X,"Environment and Planning C: Government and Policy",30, 3,0,0,0,0,0,0,18,27,32,50,79,74,75,8,363,0,363
2011,"Co-opetition between giants: Collaboration with competitors for technological innovation","Gnyawali D.R., Park B.-J.",00487333,"Research Policy",40, 5,0,0,0,0,1,4,12,30,28,76,39,94,74,3,361,0,361
2009,"Co-opetition and technological innovation in small and medium-sized enterprises: A multilevel conceptual model","Gnyawali D.R., Park B.-J.",00472778,"Journal of Small Business Management",47, 3,0,0,1,1,8,8,22,36,19,55,39,66,53,5,313,0,313
2013,"Business Models and Technological Innovation","Baden-Fuller C., Haefliger S.",00246301,"Long Range Planning",46, 6,0,0,0,0,0,0,1,16,28,46,61,73,79,2,306,0,306
2009,"Collaborative networks and product innovation performance: Toward a contingency perspective","Tsai K.-H.",00487333,"Research Policy",38, 5,0,0,0,8,17,29,30,30,24,38,28,42,52,1,299,0,299
